name,artists,spotify_url,danceability,danceability,energy,energy,key,key,loudness,loudness,mode,mode,speechiness,speechiness,acousticness,acousticness,instrumentalness,instrumentalness,liveness,liveness,valence,valence,tempo,tempo,time_signature,time_signature
Sessions,"['Jay Harvey', 'Special MC']",https://open.spotify.com/track/0GoORQKWYZMa2OtMd9xVQZ,0.796,,0.884,,9.0,,-5.201,,1.0,,0.217,,0.0232,,1.15e-05,,0.0827,,0.386,,129.043,,4.0,
All Falls Down (feat. Juliander),"['Alan Walker', 'Noah Cyrus', 'Digital Farm Animals', 'Juliander']",https://open.spotify.com/track/7EZSzaiRM8RaiFIQbRJ2fQ,0.734,,0.855,,9.0,,-3.211,,1.0,,0.118,,0.00481,,0.0,,0.123,,0.422,,126.035,,4.0,
Codeine Dreaming (feat. Lil Wayne),"['Kodak Black', 'Lil Wayne']",https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J,0.709,,0.917,,9.0,,-3.315,,1.0,,0.189,,0.0409,,0.0,,0.0839,,0.515,,125.042,,4.0,
Älä Selitä,"['Maagi', 'Talonpoika Lalli']",https://open.spotify.com/track/7GDkMrd25uzVvoJ8SDr8Nz,0.749,,0.935,,9.0,,-4.468,,1.0,,0.187,,0.00148,,0.0597,,0.0425,,0.42,,136.896,,4.0,
Caesarea,"['Yoel Lewis', 'SIVAN']",https://open.spotify.com/track/6s9NkWYguvurSsegcqHskR,0.697,,0.881,,9.0,,-4.313,,1.0,,0.0721,,0.0399,,0.00243,,0.0962,,0.429,,116.045,,4.0,
Muista kuka oot,['Aksel Kankaanranta'],https://open.spotify.com/track/3UEz5jkr2rUbfnHLGbrXk8,0.684,,0.916,,8.0,,-5.519,,1.0,,0.167,,0.0612,,0.000341,,0.172,,0.265,,123.937,,4.0,
Legalize Já - Versão 2017,['Planet Hemp'],https://open.spotify.com/track/5E3dZEDUQ0Ja5SNTj268oD,0.628,,0.979,,9.0,,-4.634,,1.0,,0.112,,0.0193,,0.0,,0.147,,0.351,,106.695,,4.0,
Dancing Queen,['ABBA'],https://open.spotify.com/track/0GjEhVFGZW8afUYGChu3Rr,0.754,,0.759,,9.0,,-5.218,,1.0,,0.302,,0.153,,0.000108,,0.101,,0.435,,126.366,,4.0,
To Be Free,['Alan Menken'],https://open.spotify.com/track/30J2aUXkTp9vsGWH3tegca,0.798,,0.942,,8.0,,-4.209,,1.0,,0.135,,0.0223,,0.00286,,0.044,,0.36,,116.577,,4.0,
Deseos de Cosas Imposibles,['La Oreja de Van Gogh'],https://open.spotify.com/track/6CIDsqMEEsBJf5Cv6RbuGw,0.564,,0.932,,9.0,,-3.6,,1.0,,0.109,,0.000705,,0.000376,,0.0713,,0.388,,102.953,,4.0,
